live_date,live_name,comedian_names
2019/09/03,9月本公演,""
2019/12/15,ルミネtheよしもと 土日祝公演12月,""
2020/11/01,よしもとOWARAIライブSP,""
2021/07/11,キチ4 in 福岡,"フットボールアワー後藤,野生爆弾くっきー,ずん飯尾,ハリウッドザコシショウ,レイザーラモンRG"
2022/04/10,おいでやすこが博多ライブ,""
2022/04/29,4月本公演GW特別興行,"EXIT,見取り図,オズワルド,ティーアップ,西川きよし,霜降り明星,フットボールアワー,オール阪神・巨人,吉本新喜劇（すっちー）"
2022/06/11,コロコロチキチキペッパーズ結成10周年全国ツアー「KORO10」,"コロコロチキチキペッパーズ"
2022/06/26,福岡よしもと超スペシャル寄席,"おいでやすこが,アキナ,アインシュタイン,金属バット,空気階段,サカイスト,カーネギー,ザ・ローリングモンキー,十徳御膳,とらんじっと"
2022/08/10,よしもとE・ZOお盆特別公演,"オール阪神・巨人,スーパーマラドーナ,サルゴリラ,THIS IS パン,インディアンス,爛々,メガモッツ,マサル,カーネギー,十徳御膳,出目金,とらんじっと,メリコンドル"
2022/08/14,よしもとE・ZOお盆特別公演,"西川きよし,ライセンス,スマイル,パーティーパーティー,カイキンショウ,九州新喜劇"
2022/08/20,8月本公演,"ゆにばーす,まるむし商店,スーパーマラドーナ,ザ・ぼんち,オール阪神・巨人,桂文枝,吉本新喜劇（小籔千豊）"
2022/08/20,横柄ザコシの劇場版 尿道からの小便X,"ハリウッドザコシショウ"
2022/08/28,吉本興業110周年感謝祭 のりおよしお主義〜漫才師の主張〜福岡公演,""
2022/09/03,よしもとE・ZOお笑いライブ,""
2022/10/20,FUKUOKA NEXT LIVE,"ヒューマン中村,もも,カーネギー,ザ・ローリングモンキー,中村圭太,太宰,メリコンドル"
2022/10/23,吉本興業110周年感謝祭 西川きよしのコツコツ全国ツアー 福岡公演,""
2023/05/14,超よしもと漫才ライブ,""
2023/08/27,肛門ザコシの劇場版オールしょんべん珍棒対抗野糞合戦,"ハリウッドザコシショウ"
2023/10/13,タイタンシネマライブ,""
2023/10/21,TKOコントライブ47都道府県ツアー「周るTKO」,"TKO"
2023/10/28,ゆりやんレトリィバァ単独「ゆりやん日本最終ツアー！」福岡公演,"ゆりやんレトリィバァ"
2023/11/24,11月本公演,"コロコロチキチキペッパーズ,さや香,ティーアップ,桂小枝,ハイヒール,西川きよし,笑い飯,オール阪神・巨人,吉本新喜劇（すっちー）"
2023/11/24,ロザンの23ベスト,"ロザン"
2023/12/08,タイタンシネマライブ,""
2023/12/16,超よしもと漫才ライブ,"バッテリィズ,真輝志,もも,さや香,侍スライス,令和ロマン,ミキ,たくろう,ドーナツ・ピーナツ,からし蓮根,シシガシラ,ヘンダーソン,コロコロチキチキペッパーズ"
2023/12/28,福岡よしもとお笑いライブ,"とらんじっと,パスタとパスタ,パグ,気になるあの娘,メタルラック,ぼる塾,かば鴉,マサル,アキナ,もりやすバンバンビガロ,さや香,アインシュタイン,テンダラー,パゴス"
2023/12/31,福岡よしもとお笑いライブ,"とらんじっと,パフェ,カーネギー,サルゴリラ,カイキンショウ,気になるあの娘,サカイスト,出目金,おかずクラブ,ZAZY,相席スタート,コロコロチキチキペッパーズ,トータルテンボス,スポットライト"
2024/01/06,新春 CANAL FES,"ハリウッドザコシショウ,SAKURAI"
2024/01/07,お正月だよ！福岡よしもとお笑いライブ,""
